airline_sentiment,text
positive,Hey  you've upgraded me on a 10 hour International flight. I forgive you :-) thank you!
negative," my flight out of BGM Cancelled Flightled last night, I get a hotel voucher, but had to pay for a cab back. Worse cab experience ever"
negative,"'s first flight (4651, to #IAH) from #IAD is delayed...because no one hooked up ground power to the plane. Get it together, folks."
negative,"  UA 1706 there is no way a plane ""loses its software"" I believe you decided to do an upgrade..."
negative, already missed connection... UA 495
negative, typically once you get the problem fixed - then the crew expires - and the delay turns into a Cancelled Flight...
negative," UA 1706 delayed again - I get charged $600 if Late Flight by you - you say ""oh well"""
neutral, we are trying to go as far away from King'sCollegeLondon as possible for #charity today. Would you help us ? #jailbreak #RAG
negative," Friend stuck in bus on runway at PEK with two small kids no customer service, no explanation, kids crying, awful service."
positive, yes to more food! Add some gluten free options while you're at it
negative, no. U guys suck. I'll never fly with u again. And ur supervisors suck too.
negative, on a flight to New York! Love the quality planes on United!! #WTF #crappy #aviation #NewYork http://t.co/zv6CfPoHl5
neutral, @paigeworthy : page United values your tweet b/c it's so rare that they receive tweets complimenting their service...most are fake.
negative, yes there is when you keep getting the same robotic answer.
positive,  thank you for a great flight in gfc :) Cheers http://t.co/nvLnGLnMGN
negative, bad customer service  to NYC a few weeks ago. Thinking of moving on
negative, @danahajek : United's CEO has decided to outsource and or push out more and more of their skilled and loyal employees..lack of staff
negative," I mean, your employees were really nice as I literally sobbed?"
negative," @danahajek : she means to say there has been so many complaints today (this week, this month) that she can't respond b/c she's alone"
negative, I was flying home for a 9:30am event tomorrow. You pushed back my flight. Now I have a $400 ticket that won't get me home in time.
positive, They held the plane! Made it!!
positive," ok, have sent u info via DM. I appreciate your help and consideration. 😊"
negative, flight 1136 from Chicago to Houston over 2 hours and no pretzels or peanuts?! Seriously about passed out.
positive, nice and early back home! http://t.co/geG4nghmIE
positive, I hope so too :)
negative, - after having to now TAG MY OWN bags at the airport I was hoping they would actually arrive WITH me - here's hoping they arrive
positive, I'll make sure he's done that. Thanks for the help. This is a huge race for him and just trying to make sure it goes smoothly. Peace
negative, I had planned to book additional flights tonight but after 1 1/2 hrs working on one trip I'm worn out! #EnoughIsEnough
neutral," If you'd love to see more girls be inspired about becoming pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh"
neutral,. I took a screenshot and emailed it to myself. Let's DM and figure this out.
negative, Brothers luggage was lost on Copa Airlines Flight 635. He's competing Sunday for the 2015 Panamerican Cross Country Cup. Please help
positive,", will you fill it? Yes they will. Thanks! #BringYourOwn, @kleankanteen http://t.co/daaa0rqBXW"
negative, Brothers baggage was lost on route to 2015 Panamerican Cross Country Cup Championship in Columbia. His race is Sunday. Please help.
negative," funny, both my flights yesterday were delayed because of mechanical issues. Rotten luck to get 2 planes in a row with ""issues""..."
negative, that would have been nice earlier  today. Too Late Flight now. I hope.
negative, waiting 12 mins and counting to get through to Global Services....something going on?
negative, no still trying to get home.
negative, Also your at-gate monitor showed 23 empty seats
negative, That is not what your reservations desk just told me.  They said there were plenty of seats
negative," very exasperating I'm having a difficult time with Flight Booking Problems as the error message says you're undergoing maintenance. Really, now?"
neutral," @SCVPools 
Please call me at 310-795-2210."
negative, lax29108m make it happen please else on a cruise with no luggage tomorrow
negative, no I did not make connection.  Your stellar employee Vicky Thomas refused to board me even though 23 empty seats on plane
negative, Of course. That was the start of my trip 3 wks. ago. Its gone further downhill on my return.
negative, no u don't
negative," how much longer will it take? It a guitar, not a royal commission!"
neutral," I have a voucher that expires next week, can I get an extension on it before it expires?"
negative," sure, but 8 different texts changing time &amp; gate (especially locations across the entire concourse). That just seemed a little off."
neutral, you know what would be awesome? Providing us with complimentary entertainment on your flights. Especially those longer than 6 hours.
positive, DM sent.  Thanks.
negative," to Late Flight now, but in future flights, train staff better to handle emergency situations, and ground staff in Customer Service"
neutral, San Diego to Chicago. Leaving at 6:15 am tomorrow
negative, Stuck in this airport 12 hours in standbys cuz the pilot showed up Late Flight in PJs &amp; i missed my connectin flight. PJ's I TELL U! #NYFW
positive," Brian at SFO customer service deserves a raise, gave me extra meal voucher and a good joke to cheer me up after flight delay. #FTW"
positive, Thank you! Have a nice evening.
negative, it most certainly was not.
neutral, its available online I just can't figure out how to do it to guarantee same flight
positive, No thanks.  Took care of it when I called
positive, awesome thank you very much for the help
neutral, you need to follow me so I can dm you to give you the info
negative," @airlines. Agents arguing about check bag announcement. Looked for room until seat 20, gave up and walked back to seat 7.Unnecessary"
neutral, yea I saw that I'm moving to China and have 5-6 bags will pay whatever but wanted to make sure it was ok to bring that many
negative," you should change your name to United Incompetence. No flight until Monday, have to take a 7 hour drive now to get to my flight!"
positive, kept me watching the safety video for the first time in forever. Nice job 👍.
positive, thanks to Lea in the Chicago office for her help in switching our Cancelled Flighted flights!!
negative, the wait time for a baggage question is 60 minutes that's crazy is there a limit to the amount of bags I can bring internationally
negative, UA7985 is a coshared flight w/ ANA. Unable to check in 24 hrs prior.
negative, when a 2 hour flight turns into a 3:30 ordeal...sigh
neutral, Sure.  Follow for a sec and I will.
positive, Thank you so much for your help with my birthday trip! Tickets are confirmed! :-)
neutral," airlines.
On flight UA 1669.
Need to make UA 3781.
Can u hold the plane for us?"
negative, when will I hear? Guitar was damaged in December. I use my guitar to earn a living. Get your act together!
negative, I hope so but I've received no help so far. I've been on hold for more than an hour. Can someone speak to me?
negative, you asked me to DM then ignore them. Please assist in changing to another flight today- 21 Feb fra to mco avoiding IAD.
neutral, Will the airline refuse my Canadian passport with less than 6 months remaining validity? Going to US.
neutral, what time should I arrive at the airport for my 6:15 am domestic flight out of San Diego?
negative, I sent a DM re an existing reservation but no one has responded
neutral, I am going to a service desk now to see what the options are.
negative, I miss the Continental days.
negative, or how about next time my bag is underweight you guys credit me $200. Or how about I take my business to an airline that cares.
negative," It wasn't full, I had plenty of time to go to the gate and check, plus with my status I should have gotten on!?!"
negative," Thanks for nothing. Next time I'll bring a whole extra suitcase for my 1 extra pound. That makes sense, right?"
positive," Great landing in Denver, next Rapid City. Snow starting to fall...Florida Everglades is a faint sunburn away...here comes the cold!"
positive, Looking forward to flying with you guys as well !!
negative, how is it that my flight #3367 can arrive early and be delayed due to no gate being available. We are now 20 min Late Flight on tarmac
negative," my flight landed 50 min, but we are being told to stay on the plane, haven't pulled up to the gate &amp; have little to no information."
negative, have better customer service at John Wayne airport.
positive, Bag was finally delivered and intact. Thanks for your assistance.
negative, Booked 11 tix 1 month ago and now its about $157 CHEAPER and customer service was useless. What's up with that???
negative, is UA938 still taking off at 9:05pm? I'm stuck on the tarmac on UA3462 waiting to get in.
negative, you're right. Good you caught the mechanical failure. Too bad there are no blankets. But ok.
negative, - we're sitting in UA1088 getting delayed because the operations can't find captain. #ridiculous #united
positive,. You guys made my day. Treated me well. Thank you!!!
neutral, How can I verify if wheelchair assistance has been requested for my next flight?
positive," Don't know her last name, but Karen at your call center is terrific.  Friendly, helpful.  Terrific representative. Kudos."
positive," thank you! Good service, safe flight... 1/2 way home!"
negative,"Why even ask me to DM you and offer help if you ""can't do anything""  #terriblecustomerservice #unitedairlines http://t.co/feC4i3Vwq7"
negative, you guys suck!
negative," never fails, flying FC order ravioli get chicken. Tell the FA she says you should of told me, other people wanted chicken..idiot."
positive," Both flights went great and improved my view of your airline, cheers! Flight attendents on UA1022 deserve a raise"
negative, and now your rep just hung up on me after over 35 mins on hold because I asked for a supervisor. I'm furious right now.
neutral, I have a question about my interview process I had only one interview but was the last person is that good or bad
negative, thank you for 7 hrs at terminal D in Dulles airport http://t.co/IG2dgctt2M
neutral, landing in Chicago - saw it once we were already airborne.
negative," Marcus helped me - good agent, couldn't fix it. Flight was listed on website, but ""unavailable""to book. False advertising much?"
positive," I may not hit any new status this year, but I’ve flown several times this year and have tried to book with y’all every time!"
negative," If someone misses his connecting flight because of the airline, and it was the last flight of the day, how will you fix it?"
negative, thank you for the reply. I emailed your customer care department about my experience.
negative, How can I file a claim when your agents won't let me speak to a supervisor? My claim number is expired because you WON'T find my bag
neutral, it's done.  If you do something to make up for it I'll tweet that too.
negative, I had one interview I was the last person what does that mean?
positive, I just received notification of in-flight Wi-Fi for UA863 from @flySFO to @SydneyAirport. Amazing!
positive, give her the recognition she deserves!
positive, she's the type of person that can make a customers day! I fly 100+ times a year &amp; she's one of the top flight attendants I've had!
negative, made me remove 1 pound from my checked bag otherwise they would charge me $200. Loyal flier for 10 years - time for change.
negative, been sitting on this plane 3:15 unreal. When will my 2+ day nightmare end?
positive, you suck. @SouthwestAir you're the best.
negative, can you let us out of the gate now. UA1157
negative," &amp; on top of no free tv on the int’l leg, now I’m sitting on the Tarmac in Houston, 70 min past departure w/ another hr plus to go"
negative," DTV doesnt work, pilots Late Flight, wont let 10yr old fly next 2 me and I paid 4 an upgrade. #unitedsucks"
negative," Your ""Loyalty Team"" basically flipped me off via phone, but thanks. Maybe Google ""loyalty"" and get back to me? ^LOL"
positive, Thank You
negative,", if you mean beyond opaque ""maintenance issues"", yes, that would be  basic in customer service which your EWR staff can't manage."
negative," ""Dear Ted. We don't care about you nor the Mileage Plus Card you pay a lot for. Bye bye. -- United"""
neutral, Terminal 1 gate B3. Flt 1299. Then take her to Terminal 5. Gate M13. Swiss Air LX009
negative,.  sad that you don't think it is important to resolve your client facing team that behaves disgraceful
negative, Help! My girlfriend Amy Lloyd is going to miss our flt to Zurich bc of your fault. She needs a golf cart to meet her at ORD (1)
negative, That was the problem.  We were being told the aircraft was on its way.
negative, I took care of it myself. Had to rent a car and drive 3 hours to retrieve my belongings. Due to united errors.
negative, now I'll probably miss my next connection!
neutral, any chance you'll ever do CPUs on your JFK-LAX like @AmericanAir?
negative, you may think I'm joking or blowing it out of proportion but the last 8 united flights have been delayed or significantly Late Flight.
negative, 2 days and 3 planes with mechanical issues?  Now over 1.5 hrs Late Flight sitting on this plane. This is insane!!
negative, I didn't get a message from you. I'll resend numbers.
neutral," Yes, filled out the form last year. Don't have case number handy. Guess I'm not cut out for the historical society afterall"
negative, What idiot designed your seats? Armrest TV remote &amp; resting elbows don't mix. Seatmate keeps changing channels &amp; blasting volume.
negative, You can bump me up to Group 3 so I won't be forced to check my bag and wait 30+ minutes at LGA.
negative," Listen, learn &amp; do this: Remove your PQD requirement. It is insulting. ^HA"
positive, thank you for the reply.  I will fill out the form and submit it as requested.  Good to know you're paying attention!
positive, Gate Agent Alavera is amazing
positive, wins top marks for customer service via Twitter. They turned a poor experience into a positive. Many thanks for the effort! 👍
negative, Really....you charge me $25 to check a bag and then you put it on a different flight....still Don't have my bag!!!
negative," cross country flight SFO&gt;BOS. No wifi, not even a can of soda and this quality inflight entertainment #sad http://t.co/xhlc30MTfF"
neutral, I just had an interview how long does it take before you hear back
negative, roundtrip to London on @Delta ? I think I will! FYI that's another $1k you just lost. #moneynotspentonunited #unfriendlyskies
negative, already Flight Booking Problems next week's trip on @AmericanAir  thanks for making the choice so easy #disunited #unfriendlyskies #servicefail
positive," flight experiences R often frustrating, but 2day on UA5184 from CHI to WPG flight attendant April was #amazing! She's 1 of the best!"
negative," Also, group 5 is total BS."
negative, I will! On @AmericanAir @SouthwestAir @Delta or @JetBlue  all of which will be getting my business. #unfriendlyskies #unbelievable
positive, free booze for the Bach party would make it better!  ORD--&gt;MSY #Delayed #Again   We will enjoy either way.  Thanks!
neutral," (2/2) I have their name (boarding pass was in there, too).  I think they might really need this. Any ideas?"
neutral, - sitting in seat 10D on a flight back from Vegas to Chicago.  Someone left a folder that looks important in the seat pocket. (1/2)
negative," incompetent/rude service today. Missed my connecting flight, then the customer service desk was terrible to me. Really upset w untd."
negative, - terrible experience on UA415 on 17th. 1st exit row in economy has zero legroom. Have same row booked for return but can't change.
positive, all good man it isn't your fault that plane is having maintenance issues
negative, this delay of flight UA4636 has been painful. I sure hope it doesn't cause me or my luggage) to miss my UA82 flight to New Delhi!
negative, Yes but unbelievable.  Should have a free fare lock
negative," it should be free like other airlines! Again, it’s not 1997 anymore."
negative, Existing reservation is fine. I was talking about no longer having an 0600 CMH-ORD option. 0638 gets me in too Late Flight.
neutral, please tell me I'm going to make my connecting flight from O'hare to #STL #SouthBendINWhere 🙏 http://t.co/qGwK10dEwv
neutral, Lindsay and ??.  Darn.  Terrible memory on my part.  I know they are headed back to IAD and then PIT tonight.
negative," I know. I’m sure you hear it all the time — don’t like the new seats. I’m a small guy, 5’ 6” and I feel the new planes are tight"
negative, how about after 2.5 hrs at ORD another .5 on the tarmac + refuse to move me to an earlier flight you make it up to me? #iflyalot #bs
neutral," OK, thanks for the clarification."
positive, When are you coming back to @IFlyOAKland? You have a huge East Bay customer base due to SFO and *I* miss you!
negative, delayed another hour
neutral, as a million mile flier I'm embarrassed to ask how long ago his launched?
negative, Can't beat the storm out of town if you wait to issue the policy until too Late Flight.  NWS issued storm warning already...
negative, @Skywest do it again!   I will now miss one or probably both our Aspen events. #Fail
negative," add wifi, entertainment and the old seats and i’ll come back."
positive, : thanks! i will catch my conection! :)
negative, super lame that you charge $8 for tv on an international flight to the US. It isn’t 1997!
negative, 4016 529557.   You going to transfer my car to me too?  Because it's at the airport you couldn't get me too...
negative," next time I will not volunteer to let you gate check my bag for space, since you obviously can't deliver it in a timely manner."
negative," I'm sorry it's cold in chicago, but I don't see why that means it takes 45 minutes for my priority bag to show up on the carousel."
neutral, how long does it take for customer feedback to respond to a complaint?
negative, you are making me miss big snow in Montana. Not cool.
negative, you might be the only airline not offering waivers...keep up the good fight
neutral, or frontier ... http://t.co/n8WiNFu6C5
positive, Thank you. Any help is appreciated.
neutral," FYI, went through this on similar flight last week."
negative, I know where to check. My complaint is my ticket said dinner when I booked now it's changed to refreshments. Where's my refund?
negative, Bag MIA since Wednesday. Still no word where it is or if we'll ever see it again. #lostluggage #frustrated
neutral, assume those benefits only apply to my own reservation. Any way my partner (on diff res) can use them? Can we combine res?
neutral, or us air: http://t.co/Eis9hcNPrO
negative, we can't all be american airlines I suppose... http://t.co/0EWj7oKlji
neutral," uhuh.Group trying to get out of Nashville and into IAD today instead of tomorrow,why be preemptive though... https://t.co/yBv0xaowKv"
positive, thanks for moving my dad on to my my mom's flight. You helped make his birthday start with #FriendlyFriday Awesomeness! 4 paws up!
negative,". It's worth saying that, if you litter in Singapore, you get caned. ""But there are rules"" says "
neutral," Not waiving change fees with the snow storm coming tomorrow? IAD is under Winter Storm warning tomorrow already, what's up?"
neutral, yes! I'll be sending an email to customer service today.
negative," I'm fully aware, it's just that your rules are harsh toward the client. Especially since you're going to resell my seat for more $."
negative," not 100% sure, however my ticket included one checked bag, therefore this charge was extra and completely unanticipated."
positive,“: @d_goodspeed We will follow up with our Maintenance team. Thanks for the tweet. ^KP” THANK YOU!  United Cares!
negative, Terribly disappointed. Confirmed reservation delayed and your cust. service staff was not helpful in finding an alternate solution.
neutral, this is for a check-in luggage. Employee told me not to include wheels in the dimensions.
neutral, dmangen@visualclubconcepts.com
neutral," if I had a ticket refunded which I purchased, for my brother to fly...could I then used the refunded credit for me to fly? Respond"
negative," its my one and only checked bag, which is checked to edinburgh, however i am being charged randomly from dc to newark"
negative, with the purchase of my ticket i am entitled to check in 1 bag however i am being charged an extra 25 dollars for domestic transport
negative, I have never been so grossed out in my life. What a disappointment-yet again-flying with you.
neutral, need to add service dog to my itinerary for tomorrow
negative, just landed. Might want to check flight 304 plane from Houston. That sound was during takeoff &amp; landing http://t.co/QKquRagGoO
neutral, DM ed u the request num
negative," I requested an online refund option they denied saying the ticket was used, hope they understand the problem from your approach"
negative," Nope, still sitting at the gate!"
neutral," bagage which i take to in the cabin i dont need to check-in,correct?"
neutral, exactly
negative, the passengers waited inside the flight on the runway and returned back in o gate that should not count as a valid journey
negative," yes it is partly used, the del-ewr is used, the return flight was Cancelled Flightled due to technical glitch in operations"
positive, thank you.. Appreciate the response
neutral, Old school ride home to LAX from Houston #flyingRetro http://t.co/6asuwx3Kv0
negative,. I appreciate you looking. Can you compensate me on anything for my troubles? Still haven't taken off for a 10:30 am flight
neutral, mine is GJQX6J husband is A587CW (Can't DM for some reason.)
positive, thank you thank you thank you for contacting me. Thank you for the offer of a $1000 travel certificate #unitedairlines
neutral," Hi, we are flying into IAD tomorrow evening. Do you expect delays or Cancelled Flightlations with the snow storm?"
negative," If a business decision is made that inconveniences and possibly causes lost customers, is it a good business decision? #Cranky"
positive, sent a DM just now. Thanks I am incredibly happy the fast response I got via Twitter than via customer care. Thank you
negative, please provide update on UA 791. This flight has been stranded by united with no information from the crew on the plane.
positive, perfect! That works! Thank you!
negative," That's still one day over my visa expiring on June 9, which is why I booked my flight on that day."
neutral, Followback so I can DM plz
negative, MIA-EWR #384 😄😄😄 excellent crew. EWR-IAD #3589 😡😡😡 No crew to load bags - waiting w/ door open freezing. 20 mins past departure.
negative, your customer service is crap.
negative, thanks for having ground crews that are surprised when flights arrive. #beingsuckontarmacsucks!
positive, mechanical issue. Looks like they got it fixed! Thanks for your concern.
negative, UA1023 sitting on Tarmac at ORD when there are visibly gates open. Reassign our gate.
negative, Usually an issue with Express our of SFO. Positive note: Mainline p.s. was enjoyable.
negative," No. SATO rebooked me. Just upset that my travel office had to fix this, and you couldn't."
negative, I think you should board from the back of the plane #whatstheholdup #CHItoCLE
positive, On the plane but thanks! Maybe don't let so many people check in by themselves - teeming with morons.
neutral, UA6357 needs de-icing! Stat! We've waited our turn...
neutral, yes I've boarded this way many times &amp; have never had to show my pass on the Tarmac multiple times. Path was railed off. Only 1 way
negative," @bobwesson fair enough United. everybody is doing the best they can. Although that ""slight delay"" is turning into a Cancelled Flightlation."
negative, Still waiting on our bag! Never got delivered yesterday. Can't reach a real person for help. Sending DM with ref number.
negative, why do I have to go thru the details of the flight I want w/ the recording to then repeat ALL when a real person gets on the line?
positive, Looks like they came through. Thanks again for the help.
neutral, anything yet JJ?
negative, why would a person take hours and hours of wait time just to tell a lie
negative, hey! DM not working. UA 307!
negative, the refund team is far from customer care courtesy they need training on work ethics. So it's like sir u r lying how can I help
negative, contd... I am being told that I am asking for a refund on a used ticket on a flight that got Cancelled Flightled how is the ticket used?
negative, after several trials and several hours of waiting on phone to contact customer care to get my refund all I get is cold shoulder
positive, since when did you get so good again!  4 transcontinental flights in 72h.  What a pleasure/relief you were.
negative, what I don't understand isn't flight that I paid premium for getting Cancelled Flighted and the best you can do is next available flight...
neutral, Are the current on board food menus available anywhere online?
neutral, Airlines Is Changing Its MileagePlus Program: Winners And Losers http://t.co/F1yvAiO9ul http://t.co/vGlx6Ykwqg
neutral,"Can I put sun in my carry on? RT “: @ant_kneee Right now 0 would be a heat wave, so enjoy the warmth! Can you bring some home? ^JJ”"
positive, thanks for prompt response.  Another hour to enjoy vacation! Perhaps a bug in the app as it still shows 2:55.
positive, appreciate the sentiment and you were able to get me off the ground;still missed connection
negative," I log in, view reservations, try view specific reservation &amp; takes me back to login page,"
positive,Thank you  for your prompt assistance.
neutral, I looked on the email chain and there is not one
negative, why the hell do my miles expire? Was really looking forward to accruing enough for a free flight in 10 years.
positive, thanks for more timely updates.
neutral, Do you also want the naming rights to my first child so I can fly home and visit with my mother and avoid more winter depression?
negative, I'm familiar with the procedure. It wouldn't be the first time #UnitedAirlines lost one of my bags. #unhappytraveler
negative, I get that. But doing it by giving inaccurate/misleading info doesn't seem like a great way to do it. #hopethegearmakesitintact
negative, cleaning a regional jet takes an hour?
positive, Baggage check in and in flight crew the friendliest ever Flight#417 ogg to Lax !!!
neutral, thanks. That means I have 30 minutes to make my international connection to HKG
neutral, @JedediahBila KP I am not traveling - we trying to cheer up Ms. Bila.
positive, Thank you for your offer! All sorted out :-)
neutral, workin on it. Waiting on him to reply.
negative, Flight 395. Rolling delay of 1 hour 42 minutes
negative, I believe just customer service. At last post he was at Narita in Tokyo. They sent him to a motel to rest. Said standby maybe 2days
positive, I think this is the best first class I have ever gotten!!  Denver to LAX and it's wonderful!!!
positive, of course not. The inflight crew was great!
positive," well played, ^LO."
positive, The pilot of UA475 just landed this plane like he was gently placing us into a pile of whipped cream. Smoothest landing ever.
neutral, I'm in another country - please Cancelled Flight my reservation. I've booked through Swiss air
negative, airlines abuse your expensive video equipment and overcharge you for the privilege http://t.co/SdyLuKR7pt via @robthecameraman
neutral, found the flight on @airfarewatchdog
negative, that's the reply? Lol hoping that at least the new plane was maintained before the flight. 😒
negative, Did somebody say flight upgrade?
neutral, DM sent.
negative," I can tell you. Your airline has lost mine and my families business. 
This day and age message through Twitter travels fast."
negative, trying to reach him for the number. At last they have him on standbye and gave him 1 meal voucher for a potential 2 day standbye!
negative, this is very disappointing. This is about customer service.
negative," boarded 6373 on time, deplaned, and now 100 minutes delay. No transparency during. Can't wait to give up my gold status for AA."
negative, @44Stocker my wife Sarah stocker did also called but could not connect me to customer service
negative," Once again I am victim to the scam that is your SHIT Customer Service, this time the agent hung up on me WTF do you teach your staff"
negative, flight 1219. My frustration boiled over after dealing with attendant. Her attitude was ridiculous.
negative, nice to know that 3 hours of my time is worth $7.99. Free DirectTV for everyone! Ever hear of preventative maintenance?
negative, obviously no one knows a darn thing around here.  What are we to do if this does not get resolved? http://t.co/Ph8QJzaPKx
neutral," so going forward, I shouldn't be Flight Booking Problems Star Alliance flights through the United App?"
negative, I have those notifications yet the staff on board say that is not accurate and they have no departure time.
negative, I'm not know if the seats are actually narrower than other seats but they feel like it. Or maybe I'm extra bloated.
negative, DM sent.  This lack if customer service is getting ridiculous.
negative, delayed going home AGAIN. Getting really tired of delays.
positive, a big thanks to ^MN and ^KN or patiently clarifying the United domestic world to me.
negative, uh - I booked it through the UA website. Why the price change?
negative, I'm rebooked. Getting home 4 hours Late Flightr then planned. What are the chances I'll ever see my bag again? #unhappytraveler
negative," United Club team is A+ &amp; got me a seat Late Flightr. Still, not sure why a last min UAL Cancelled Flightlation costs me $ yet overbooked folks get $?"
negative," will flight 5559 to YYC be providing free food when we are allowed back on board  after the ""broken lightbulb"""
negative, I was not looking for the fare to be returned on the companion flight.  don't understand why an additional $200 fee was necessary.
positive," thank you so much, that helps a ton. Whoever is on this Twitter acct today deserves a handshake and a hot chocoLate Flight. #problemsolvers"
neutral, I left headphones in 2A on UA4689 from YHZ-EWR. It's a long shot to see them again. But worth a tweet anyway!
neutral, 129 thousand fans of @JedediahBila are asking you to give her your utmost effort to get her a safe flight with her baggage soon!
positive, can't wait!!! 787!!! @tpallini http://t.co/oDlall5eDH
negative, flight 5187 to be specific. The last two were probably 30 feet apart and within sight of each other
positive, love being told you would issue a refund when you couldn't get us out of the way of a hurricane to have it denied
negative, Without baggage for 5 days and can't get an update from Houston airport since Monday. Worst service ever!
negative, yes to three different checkers along the walk to the plane. Overkill
negative, Bummer. Might have to go with @AmericanAir card instead. TY for response though.
neutral,"“: @LRuns4Cupcakes Please DM details, we'd like to help if you need assistance. ^KP” @ClarkHoward #Another #Airlines #Issues"
negative, or I'm sure her business will go else where for airline travel. Her name is Kathryn Sotelo
neutral, please arrange someone at the arriving gate of flight 5957 to Chicago for either a refund or first class upgrade
negative," made to check in my carry on from Flight 1449 PBI to Newark. Plane luggage stow not full. U r costing me time, money &amp; aggravation!"
negative, I have no way to contact her while she is in flight. This does not work for me. Her father is about to pass and is heading to Denver
negative," we are on two more flights today, let's hope the kit does not get the same treatment!! http://t.co/Pd3nbAAkxH"
positive, thnx!
negative, - please help regarding PNR A3ZZ0F. Why am I now waitlisted for a flight?
neutral, just emailed Jim Compton and Jeff Smisek so hopefully you pay attention now
negative, I hope you have a solution or insurance to cover this issue
negative, customer service has no solution and now we might miss a show because of them
negative, deserves to go bankrupt. Just delayed an outbound flight with no info on the connecting flight that we're going to miss
negative, FLT 3444 delayed because of maintenance - that's fixed but can't board because flight crew didn't stay in boarding area #fail
negative, not anymore.  Finally was ticketed 5 min before takeoff.  Not sure why the confusion with a full-fare GSA ticket.
neutral, Do miles earned with Explorer card count toward lifetime miles?
negative," yes, but they still don't know where it is.  I've been told it might be on a flight, but now no one can confirm it."
neutral, what do I do if something is missing from my checked baggage?
negative," wind chill in Ithica -17 degrees, and for the trouble of losing my clothes they give me a t-shirt. I'll burn it for warmth. #united"
positive," Aw, thanks for the kind words. Totally makes these extra 6 hours sitting in an airport SOOOO much better."
neutral, Frontier is currently offering their weather exceptions for this weekend. When is United?
negative," crew has been notified, passenger moved but water not fixed. Now on tarmac two hours"
negative, that link is not helpful as it does not put me In touch with management
positive," as u might imagine, this former pilot was particularly touched by the gesture. Please let the FO know #keepingtraditionsalive"
negative," Delayed CMH to ORD. Ran to gate 1 min b4 connection -door closed no one around. Ignored by 1st agent, 2nd super rude. #thanksunited"
negative," @upgrd I guess the Kit Kat looks tasty... not going near that ""sandwich."""
negative,: Worse - headed to LaGuardia (delayed).  Why is the tray table the size of a mouse pad and the overhead the size on my pocket?
negative, now 1558 from IAH to EWR has broken entertainment system and no WiFi despite info on app: http://t.co/FY6f9rZB9k
negative, your customer service is terrible
negative, please send help ASAP to @KathrynSotelo on flight 5957 to Chicago seat 9c #Airlines http://t.co/9sKrLyrZ1O
negative," define ""appreciate"". I doubt the worst major airline in the USA acts on much feedback."
negative," yea, a refund. Your airline ruined our trip."
positive, just sent - thank you!
negative, that's wonderful. unfortunately doesn't help on this 4 hr flight between to major U.S. cities. #disappointed
negative," thanks for delaying our flight for an hour, missing our connecting flight and terrible customer service. #neveragain #vacation"
negative," Got rebooked on AA.  One question though, do you automatically refund the check baggage fees for flight that was Cancelled Flightled?"
negative, It is all good -- your 1K team has been nothing short of amazing with everything.
negative, new flight has me at the window. Kind of ticked off. I pick aisle seats only because I hate window seats. #annoyed #EpicFail
positive, good fly!! #United #businessFirst
negative,. Nope - had to rebook through Houston so I could get to Amarillo before 11pm. Stuck in SFO for four hours.
positive," thanks, i made it."
neutral, past
positive, Thanks! Just DMed HN.
negative, is a money sucking airline with terrible terrible customer service
negative, - are you aware your airbus fleet sucks?  I'd rather fly a C-130 full of rubber dog shit.
neutral, Will you be issuing an exception policy for Denver for this weekend?
neutral," I need a breakdown of what the ""international surcharge"" on my flights cover. Please help"
negative, https://t.co/jpd7NsGRT7. Fyi your staff are telling customers to try other carriers
negative, couldn't have possibly messed up our trip anymore than they did. Thanks for being such a terrible airline. #disappointed
negative, no wifi on #ua688 #SF to #Chicago? 2015. That's all. Ps: This tech intro video is a joke. #EpicFail
neutral, flight #1051 on 2/23. Thx
neutral, Based on suggestions from other passengers I have a rental car on standby for 11:30.  One way or another will be leaving then.
negative, Thanks for the reply. The box is not mine and I'm not missing one. It was added to my bag ....
negative, no wifi on flight ua688. SF to ORD. Really?  Wow
negative, is the worst http://t.co/27aitZl6nd
negative, haha and you have to clean a plane that was held overnight in a hangar. Sounds lovely. Also don't lie on screensand say it's weather
negative, no because you will charge me or delay me further. United 1612 still waiting.
neutral," @Adam_Karren @zj76 how did you save the $200 on checked snowboard? Trying to check in this morning, website wants $200! (prem.gold)"
neutral," traveling from FRA thru IAD to MCO tomorrow, concerned abt IAD weather. Can't change until advisory issued? Any advice?"
negative, I did and then she made me feel guilty because it was economy plus and I didn't pay for the extra leg room
negative, my flight Cancelled Flightled new flight 5012 hopefully will not.
negative, #4781 Cancelled Flightled. #5102newflight I will be upset if this one Cancelled Flights too. I could have rented a car if they would have been honest.
positive, enjoyed #heathrow lounge so much i almost missed my @airnzusa flight!
positive," Hi, flight 1051. If I try and book a new one way,  flight departure shows up as 3:55pm which seems accurate."
negative, Stuck in. ORD because United can't find their airplane. Lol. #upset terminal right now.
neutral, Who can I contact about requesting a charity donation? #ThankYou
negative, WTH be honest with your customers.  This better be the last change or we are driving home.  Has our plane left or not!
negative, 2nd time in a row  I've been over charged by 100's of $$ on my plane ticket WHY? #united I shouldn't have to check my CC everytime
neutral, I need a customer service manager to contact me please
